country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)"
Libya,NorthernAfrica,1676198,6375,3.6,101.7,34457,-10.2,5488.2,19.2,4615,8876,0.2,78.6,2.4,74.4/68.8
Liechtenstein,WesternEurope,160,38,237,98.4,6361,1.4,169491.8,2.6,4573,345,0.8,14.3,1.5,86.4/80.0
Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,1.8,14383.7,9.2,25025,27501,-1.3,66.5,1.6,79.3/68.5
Luxembourg,WesternEurope,2586,584,225.3,101,56802,3.5,100160.8,5.6,12838,19124,2.2,90.2,1.5,83.4/78.8
Madagascar,EasternAfrica,587295,25571,44,99.5,9739,3.1,401.8,2.3,2256,2965,2.7,35.1,4.4,66.0/63.0
Malawi,EasternAfrica,118484,18622,197.5,98.2,6420,3,372.9,6.8,875,1649,2.9,16.3,4.9,63.1/58.2
Malaysia,South-easternAsia,330323,31624,96.3,106.7,296284,5,9768.4,3.3,189414,168375,1.8,74.7,2.1,77.1/72.6
Maldives,SouthernAsia,300,436,1454.4,131.8,3435,2.8,9446.5,2.9,140,2128,2.8,45.5,2.2,77.4/75.4
Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,7.6,744.3,8.1,3030,2510,2.9,39.9,6.4,56.9/55.6
Malta,SouthernEurope,315,431,1346.4,100.9,9747,6.2,23280.7,5.4,4039,7182,0.5,95.4,1.4,82.0/78.6
Marshall Islands,Micronesia,181,53,295.2,104.5,183,0.6,3452.6,4.7,27,86,0.2,72.7,4.1,72.5/71.3
Martinique,Caribbean,1128,385,363.1,83.5,567,2.3,656,22.8,983,4754,-0.5,88.9,2,84.4/77.8
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1.2,1235,12,1623,2174,2.9,59.9,4.9,64.1/61.2
Mauritius,EasternAfrica,1969,1265,623.2,97.9,11511,3.5,9040.9,7.6,2194,4655,0.2,39.7,1.5,77.7/70.7
